TIMESTAMP,SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TOTALTRADES,ISIN
2020-01-22,ARCOTECH,BE,2.15,2.25,2.1,2.1,2.1,2.2,49830,106133.55,46,INE574I01035
2020-01-22,ARENTERP,EQ,9.45,9.45,9.45,9.45,9.45,9.45,2,18.9,1,INE610C01014
2020-01-22,ARIES,EQ,72.7,73.65,71.35,71.9,72.0,72.7,25980,1883820.75,456,INE298I01015
2020-01-22,ARIHANT,EQ,20.4,21.6,20.4,21.6,21.6,20.6,1927,40694.7,29,INE413D01011
2020-01-22,ARIHANTSUP,EQ,28.45,29.4,28.0,28.1,28.0,29.25,5155,145584.5,663,INE643K01018
2020-01-22,ARMANFIN,EQ,753.15,772.0,753.15,763.05,772.0,753.55,3365,2554211.0,265,INE109C01017
2020-01-22,AROGRANITE,EQ,40.2,41.1,39.35,40.4,41.1,39.8,3438,137968.8,122,INE210C01013
2020-01-22,ARROWGREEN,EQ,52.25,52.95,50.6,51.3,51.15,51.7,2051,106090.8,188,INE570D01018
2020-01-22,ARROWTEX,BE,9.6,10.3,9.6,9.8,9.8,10.0,2333,23133.7,15,INE933J01015
2020-01-22,ARSHIYA,EQ,16.7,17.35,16.5,16.65,16.9,17.1,15582,261436.3,90,INE968D01022
2020-01-22,ARSSINFRA,EQ,21.1,21.6,20.65,20.95,20.8,21.05,5466,114362.75,116,INE267I01010
2020-01-22,ARVIND,EQ,44.3,44.7,43.6,44.05,43.85,43.9,1213820,53607659.5,4088,INE034A01011
2020-01-22,ARVINDFASN,EQ,423.0,443.85,414.0,416.8,417.0,417.2,115269,49651908.5,7331,INE955V01021
2020-01-22,ARVSMART,EQ,90.0,93.9,90.0,93.15,93.85,90.5,9982,922120.5,309,INE034S01021
2020-01-22,ASAHIINDIA,EQ,239.85,244.95,236.15,241.9,240.0,239.85,104191,25061894.45,1297,INE439A01020
2020-01-22,ASAHISONG,EQ,163.9,163.9,157.0,158.1,157.0,159.45,5393,855296.8,275,INE228I01012
2020-01-22,ASAL,EQ,34.15,35.25,34.0,34.4,35.0,34.65,3565,122812.05,69,INE900C01027
2020-01-22,ASCOM,SM,32.5,32.5,32.5,32.5,32.5,32.5,4000,130000.0,1,INE08KD01015
2020-01-22,ASHAPURMIN,EQ,33.05,34.4,33.05,33.6,33.55,34.3,22883,770514.55,142,INE348A01023
2020-01-22,ASHIANA,EQ,115.75,118.25,110.5,112.55,112.5,116.2,22976,2610339.65,464,INE365D01021
2020-01-22,ASHIMASYN,EQ,8.7,8.7,8.15,8.2,8.3,8.5,36255,299558.95,252,INE440A01010
2020-01-22,ASHOKA,EQ,120.5,121.75,114.9,115.55,115.25,119.0,907519,106815088.6,10300,INE442H01029
2020-01-22,ASHOKLEY,EQ,86.75,87.25,85.0,85.9,85.75,86.3,18524416,1595194275.95,54707,INE208A01029
2020-01-22,ASIANHOTNR,EQ,86.3,87.0,83.05,86.9,86.0,83.95,7664,658136.05,247,INE363A01022
2020-01-22,ASIANPAINT,EQ,1815.0,1818.7,1766.85,1779.25,1773.2,1810.75,3415306,6118736746.75,118628,INE021A01026
2020-01-22,ASIANTILES,EQ,220.0,220.25,212.15,215.4,216.75,219.75,16773,3645351.75,1999,INE022I01019
